date,text,Cleaned_Tweet,Sentiment
2025-04-08 04:40:42+00:00,“Fire chiefs warn of climate change driving extreme weather in the wake of weekend infernos” ⁦@simeonkerr⁩ &amp; ⁦@janatausch⁩ #ClimateCrisis #ExtremeHeat #NthnIrelandWildfires #ScotlandWildfires  https://t.co/gbmFBOcowc,Fire chiefs warn of climate change driving extreme weather in the wake of weekend infernos simeonkerr amp janatausch ClimateCrisis ExtremeHeat NthnIrelandWildfires ScotlandWildfires,Negative
2025-04-08 04:40:32+00:00,@FreeStateColor1 Not surprised. Before the smoke from our Louisville fire was even out he was on TV lecturing about how it was climate change.,FreeStateColor Not surprised Before the smoke from our Louisville fire was even out he was on TV lecturing about how it was climate change,Negative
2025-04-08 04:39:55+00:00,"I bet those dockworkers at America’s ports wish there had been a buyout now.

How many jobs are going to remain when the shipping declines due to the tariffs?

And believers in the climate change hoax should be happy with Trump for reducing the ships spewing bunker fuel emissions",I bet those dockworkers at Americas ports wish there had been a buyout now How many jobs are going to remain when the shipping declines due to the tariffs And believers in the climate change hoax should be happy with Trump for reducing the ships spewing bunker fuel emissions,Positive
2025-04-08 04:39:47+00:00,@FreeStateColor1 He left @9news and joined @ABC because they were more behind the climate change narrative. Sad to see someone you grew up watching completely lose their mind.,FreeStateColor He left news and joined ABC because they were more behind the climate change narrative Sad to see someone you grew up watching completely lose their mind,Negative
2025-04-08 04:39:45+00:00,@RepJasmine It’s back!!  Climate change 😆 https://t.co/fNYFfrRZJN,RepJasmine Its back Climate change,Neutral
2025-04-08 04:39:33+00:00,"@angeloinchina @realDonaldTrump @TheDemocrats @IMFNews @WorldBank Let's stop the romanticization and face reality, and now with the globalists CLIMATE change HOAX, GREEN energy policies, NET ZERO it's evident that life is unbearable globally, no jobs , no money circulation, Education collapse but the SELF destructive globalists puppets at IMF",angeloinchina realDonaldTrump TheDemocrats IMFNews WorldBank Lets stop the romanticization and face reality and now with the globalists CLIMATE change HOAX GREEN energy policies NET ZERO its evident that life is unbearable globally no jobs no money circulation Education collapse but the SELF destructive globalists puppets at IMF,Negative
2025-04-08 04:39:18+00:00,"@RandyEischer ok so what was your MA in? cuz millennials get shit on a lot for underwater basket weaving but like the market crashed when I was graduating, also, everywhere is a bad place to have a house because of climate change",RandyEischer ok so what was your MA in cuz millennials get shit on a lot for underwater basket weaving but like the market crashed when I was graduating also everywhere is a bad place to have a house because of climate change,Negative
2025-04-08 04:39:15+00:00,@TownPerson01 @govt_corrupt He is just a green profiting off of net zero which is a failure and climate change.Maybe he can talk the sun into changing its heating and cooling phases which it has done since the beginning of time.,TownPerson govtcorrupt He is just a green profiting off of net zero which is a failure and climate changeMaybe he can talk the sun into changing its heating and cooling phases which it has done since the beginning of time,Negative
2025-04-08 04:39:12+00:00,"Major tariffs on renewable energy, EVs, and other products fighting climate change, but not for carbon polluters. https://t.co/UKyUdMItYp",Major tariffs on renewable energy EVs and other products fighting climate change but not for carbon polluters,Positive
2025-04-08 04:38:56+00:00,"@MovieXMania Don't Look Up is a biting, star-studded satire that uses absurd humor to skewer society's apathy towards climate change, warning of catastrophic consequences.",MovieXMania Dont Look Up is a biting starstudded satire that uses absurd humor to skewer societys apathy towards climate change warning of catastrophic consequences,Negative
2025-04-08 04:38:54+00:00,"🚢🌏 Exciting news! China's Antarctic expedition has just returned, bringing groundbreaking insights on climate change and its impact on our planet! 🌍🌡️ Together, we can face climate challenges and work towards a sustainable future. 💚✨ #ClimateChange … https://t.co/WOGydDrMYL",Exciting news Chinas Antarctic expedition has just returned bringing groundbreaking insights on climate change and its impact on our planet Together we can face climate challenges and work towards a sustainable future ClimateChange,Positive
2025-04-08 04:38:29+00:00,@scs_real Check his timeline. He went from being the coolest weather dude in Colorado to now being a complete climate change activist. It’s really sad for me as an old guy who used to anxiously watch his weather reports every night.,scsreal Check his timeline He went from being the coolest weather dude in Colorado to now being a complete climate change activist Its really sad for me as an old guy who used to anxiously watch his weather reports every night,Negative
2025-04-08 04:38:27+00:00,"@nemaug @NKarekaho @william110707 @jeffrey_opiyo @BiryomumaishoB @tonylala @mkidandi @DailyMonitor @892cbsFm @newvisionwire Presenting to you ECAP AWARDS 2025.
Recognizing the best Environmentalists and climate change champions.the guest of honor Mr. Philip Bakalikwila, Board chairperson Climate action network(CAN).
Topic of the day , how can we inspire the mass to engage in climate change fight? https://t.co/OEPST1qU5A",nemaug NKarekaho william jeffreyopiyo BiryomumaishoB tonylala mkidandi DailyMonitor cbsFm newvisionwire Presenting to you ECAP AWARDS Recognizing the best Environmentalists and climate change championsthe guest of honor Mr Philip Bakalikwila Board chairperson Climate action networkCAN Topic of the day how can we inspire the mass to engage in climate change fight,Positive
2025-04-08 04:38:10+00:00,"Post on FB
@jimwattson1720

I'm a boomer and we used to call climate change ""the  weather""",Post on FB jimwattson Im a boomer and we used to call climate change the weather,Neutral
2025-04-08 04:37:42+00:00,@MatthewWielicki Nonsense not even the IPCC claim a connection between climate change and adverse weather events.,MatthewWielicki Nonsense not even the IPCC claim a connection between climate change and adverse weather events,Negative
2025-04-08 04:37:38+00:00,"@USAmbNATO and @SecDef need to make sure that we the people are not funding the climate cult and that the climate con is rooted out of our military and our NATO obligations. 

“Climate change” has nothing to do with climate change. It is about global governance and degrowth. https://t.co/b8qy6mRrip",USAmbNATO and SecDef need to make sure that we the people are not funding the climate cult and that the climate con is rooted out of our military and our NATO obligations Climate change has nothing to do with climate change It is about global governance and degrowth,Positive
2025-04-08 04:37:10+00:00,"“Arctic sea ice hit a record low for the end of the region’s winter last month, in a stark sign of how climate change is opening up the North Pole to a geopolitical race for military &amp; energy exploration” Kenza Bryan &amp; ⁦@janatausch⁩ #Arctic #Climate https://t.co/gmOhhNskIr",Arctic sea ice hit a record low for the end of the regions winter last month in a stark sign of how climate change is opening up the North Pole to a geopolitical race for military amp energy exploration Kenza Bryan amp janatausch Arctic Climate,Positive
2025-04-08 04:36:49+00:00,"Join Jasmine Ong as she unpacks key research, explores climate-positive design strategies, and shares insights on future-proofing our parks and public spaces.
📅 Date: Thursday 1 May 2025
⏰ Time: 1:00 PM AEST (1hr)
💻 Online
Register Here &gt; https://t.co/rgxvl8Sx3V https://t.co/ku5tQdN3QY",Join Jasmine Ong as she unpacks key research explores climatepositive design strategies and shares insights on futureproofing our parks and public spaces Date Thursday May Time PM AEST hr Online Register Here gt,Positive
2025-04-08 04:36:43+00:00,@FedFarmers @GreenpeaceNZ Good. Greenpeace is obviously getting to you -  hopefully their message is getting through to your members. Climate change will decimate NZ farming. You should be supporting them in planning how to mitigate the threat. You're merely a bunch of head-in-the-sand ostriches.,FedFarmers GreenpeaceNZ Good Greenpeace is obviously getting to you hopefully their message is getting through to your members Climate change will decimate NZ farming You should be supporting them in planning how to mitigate the threat Youre merely a bunch of headinthesand ostriches,Positive
2025-04-08 04:36:33+00:00,"The magazine explored the subject of climate change, offering potential solutions and promoting awareness of global issues. https://t.co/UxghE5ZK7t",The magazine explored the subject of climate change offering potential solutions and promoting awareness of global issues,Positive
